iteration,exploitability
1,5.8659006472e-01
2,4.8200738586e-01
3,5.1748669666e-01
4,5.2170197106e-01
5,4.8723433788e-01
6,4.4466904203e-01
7,3.7123055928e-01
8,2.8144393624e-01
9,2.4746606632e-01
10,2.0818404804e-01
11,2.1046376866e-01
12,2.0421733182e-01
13,1.9666206952e-01
14,1.8147798611e-01
15,1.7235159429e-01
16,1.6735865748e-01
17,1.5911595243e-01
18,1.3972535072e-01
19,1.1655357906e-01
20,1.0815395682e-01
21,8.8949513417e-02
22,7.4187042353e-02
23,6.8490725444e-02
24,6.1979093883e-02
25,5.6790300414e-02
26,5.2921459247e-02
27,4.7240993666e-02
28,3.9989935209e-02
29,3.6418888547e-02
30,3.3632869274e-02
31,3.2224220454e-02
32,8.6540006849e-03
33,8.4580296571e-03
34,5.5934099396e-03
35,6.0323421484e-03
36,3.1644344823e-03
37,1.6140498656e-03
38,-1.0528575055e-03
39,1.9733109978e-03
40,1.7477263146e-03
41,1.6843871615e-03
42,6.9909010184e-04
43,-4.1689039500e-04
44,-9.6233330126e-04
45,-1.3072369563e-03
46,-3.9606029418e-03
47,-2.5793534235e-03
48,-2.3029373143e-03
49,-2.7418726606e-03
50,-3.2509719923e-03
